Date,Name,Year,Letterboxd URI,Rating,decade,genre,liked
2024-03-18,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4.5,2000,"['Action', 'Fantasy', 'Adventure']",yes
2024-03-18,Interesting Ball,2014,https://boxd.it/9BCS,3.5,2010,"['Comedy', 'Fantasy']",no
2024-03-19,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4.5,2000,"['Action', 'Fantasy', 'Adventure']",no
2024-03-23,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.0,2020,"['Crime', 'Thriller', 'Mystery']",no
2024-05-10,Planet of the Apes,1968,https://boxd.it/29p8,4.0,1960,"['Adventure', 'Action', 'Drama', 'Science Fiction']",no
2024-05-18,In a Lonely Place,1950,https://boxd.it/1JgO,4.0,1950,"['Romance', 'Drama', 'Mystery']",no
2024-05-23,Dune: Part Two,2024,https://boxd.it/pUfA,4.5,2020,"['Adventure', 'Science Fiction']",no
2024-05-27,Beauty and the Beast,1946,https://boxd.it/29UA,4.5,1940,"['Fantasy', 'Drama', 'Romance']",no
2024-05-27,Persona,1966,https://boxd.it/29B4,4.5,1960,['Drama'],no
2024-05-28,Anatomy of a Murder,1959,https://boxd.it/2baa,4.5,1950,"['Crime', 'Mystery', 'Drama']",no
2024-06-03,The Omen,1976,https://boxd.it/29By,3.0,1970,"['Thriller', 'Horror']",no
2024-06-04,Hour of the Wolf,1968,https://boxd.it/1H9G,4.5,1960,"['Drama', 'Horror']",no
2024-06-04,Daisies,1966,https://boxd.it/LZk,4.5,1960,"['Comedy', 'Drama']",no
2024-06-11,Carnival of Souls,1962,https://boxd.it/1KQ4,4.0,1960,"['Horror', 'Fantasy', 'Mystery']",no
2024-06-20,Belly,1998,https://boxd.it/1R5Y,4.5,1990,"['Drama', 'Crime']",no
2024-06-21,The Vampire Lovers,1970,https://boxd.it/1i2U,3.5,1970,['Horror'],no
2024-07-07,Problemista,2023,https://boxd.it/waGO,5.0,2020,['Comedy'],yes
2024-07-11,Anomalisa,2015,https://boxd.it/97TE,2.5,2010,"['Romance', 'Animation', 'Drama', 'Comedy']",no
2024-07-29,Love Lies Bleeding,2024,https://boxd.it/zN4q,4.0,2020,"['Drama', 'Thriller', 'Crime', 'Romance']",no
2024-08-12,Chungking Express,1994,https://boxd.it/1UDa,4.0,1990,"['Comedy', 'Drama', 'Romance']",no
2024-08-13,Abigail,2024,https://boxd.it/G0NA,3.0,2020,"['Horror', 'Thriller', 'Crime', 'Action', 'Comedy']",no
2024-08-24,Bound,1996,https://boxd.it/1Z1g,4.5,1990,"['Crime', 'Thriller', 'Drama']",no
2024-09-08,The Decameron,1971,https://boxd.it/1fdq,4.0,1970,"['Drama', 'Comedy', 'History']",no
2024-09-10,Kinds of Kindness,2024,https://boxd.it/CWPw,2.5,2020,"['Comedy', 'Drama']",no
2024-09-14,Dogtooth,2009,https://boxd.it/158K,4.0,2000,['Drama'],no
2024-09-21,Prometheus,2012,https://boxd.it/2s9e,2.5,2010,"['Adventure', 'Science Fiction', 'Horror', 'Mystery']",no
2024-09-21,Alien: Covenant,2017,https://boxd.it/49UY,3.0,2010,"['Horror', 'Science Fiction', 'Thriller']",no
2024-09-22,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY,4.0,1970,"['Drama', 'Thriller']",no
2024-09-22,The Host,2006,https://boxd.it/28ZY,4.0,2000,"['Drama', 'Science Fiction', 'Horror']",no
2024-09-25,I Saw the Devil,2010,https://boxd.it/FaK,3.5,2010,"['Thriller', 'Horror']",no
2024-10-02,Serial Mom,1994,https://boxd.it/1Tty,4.5,1990,"['Crime', 'Comedy']",no
2024-10-05,Cronos,1992,https://boxd.it/1TjS,3.0,1990,"['Horror', 'Thriller', 'Drama']",no
2024-10-07,Funny Games,1997,https://boxd.it/1WKM,5.0,1990,"['Thriller', 'Horror', 'Drama']",no
2024-10-08,Scream 4,2011,https://boxd.it/Zmc,4.0,2010,"['Mystery', 'Horror']",no
2024-10-09,The Graduate,1967,https://boxd.it/18Im,3.5,1960,"['Drama', 'Comedy', 'Romance']",no
2024-10-12,Chicken for Linda!,2023,https://boxd.it/lGfS,4.0,2020,"['Family', 'Comedy', 'Animation']",no
2024-10-12,Peeping Tom,1960,https://boxd.it/1Utk,4.0,1960,"['Horror', 'Thriller', 'Drama']",no
2024-10-14,The Witches,1990,https://boxd.it/1WVg,3.0,1990,"['Horror', 'Family', 'Fantasy']",no
2024-10-17,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK,4.5,1960,['Drama'],no
2024-10-18,Scream,2022,https://boxd.it/o0lg,3.5,2020,"['Mystery', 'Horror']",no
2024-10-19,Children of the Corn,1984,https://boxd.it/1ViW,2.0,1980,"['Thriller', 'Horror']",no
2024-10-21,The Substance,2024,https://boxd.it/zanS,4.0,2020,"['Horror', 'Drama', 'Science Fiction']",no
2024-10-24,Force Majeure,2014,https://boxd.it/7UcA,4.0,2010,['Drama'],no
2024-10-26,May,2002,https://boxd.it/1V8M,3.5,2000,"['Comedy', 'Drama', 'Horror']",no
2024-10-26,Cure,1997,https://boxd.it/1blA,4.0,1990,"['Crime', 'Mystery', 'Thriller', 'Horror']",no
